["MarQueis Gray", 2540259, "TE"]
["Corey Fuller", 2540261, "WR"]
["C.J. Anderson", 2540269, "RB"]
["Nick Williams", 2540279, "WR"]
["Darren Fells", 2540928, "TE"]
["Ifeanyi Momah", 2541096, "TE"]
["Charles D. Johnson", 2541147, "WR"]
["Latavius Murray", 2541161, "RB"]
["Demetrius Harris", 2541187, "TE"]
["Luke Willson", 2541199, "TE"]
["Ryan Griffin", 2541316, "TE"]
["Brice Butler", 2541388, "WR"]
["Brian Leonhardt", 2541512, "TE"]
["Benny Cunningham", 2541544, "RB"]
["Brandon McManus", 2541556, "K"]
["Timothy Wright", 2541768, "TE"]
["Adam Thielen", 2541785, "WR"]
["Frankie Hammond", 2541828, "WR"]
["Josh Hill", 2541834, "TE"]
["Myles White", 2541905, "WR"]
["George Winn", 2541910, "RB"]
["Rashad Ross", 2541940, "WR"]
["Russell Shepard", 2541944, "WR"]
["Jaron Brown", 2541966, "WR"]
["Khiry Robinson", 2542022, "RB"]
["Matt McGloin", 2542065, "QB"]
["Sammy Watkins", 2543457, "WR"]
["Teddy Bridgewater", 2543465, "QB"]
["Eric Ebron", 2543466, "TE"]
["Mike Evans", 2543468, "WR"]
["Kelvin Benjamin", 2543471, "WR"]
["Marqise Lee", 2543475, "WR"]
["Blake Bortles", 2543477, "QB"]
["Jace Amaro", 2543481, "TE"]
["Jarvis Landry", 2543488, "WR"]
["Paul Richardson", 2543491, "WR"]
["Davante Adams", 2543495, "WR"]
["Odell Beckham", 2543496, "WR"]
["AJ McCarron", 2543497, "QB"]
["Brandin Cooks", 2543498, "WR"]
["Derek Carr", 2543499, "QB"]
["Jordan Matthews", 2543500, "WR"]
["Tre Mason", 2543502, "RB"]
["Allen Robinson", 2543509, "WR"]
["Patrick Murray", 2543533, "K"]
["Ka'Deem Carey", 2543551, "RB"]
["Andre Williams", 2543565, "RB"]
["Storm Johnson", 2543570, "RB"]
["Martavis Bryant", 2543572, "WR"]
["Devonta Freeman", 2543583, "RB"]
["Cody Latimer", 2543590, "WR"]
["Dri Archer", 2543596, "RB"]
["Alfred Blue", 2543600, "RB"]
["Jeremy Hill", 2543603, "RB"]
["Zach Mettenberger", 2543605, "QB"]
["Donte Moncrief", 2543614, "WR"]
["Walt Powell", 2543619, "WR"]
["Troy Niklas", 2543628, "TE"]
["De'Anthony Thomas", 2543638, "WR"]
["Tom Savage", 2543640, "QB"]
["Devin Street", 2543641, "WR"]
["Bruce Ellington", 2543646, "WR"]
["Terrance West", 2543664, "RB"]
["Bishop Sankey", 2543682, "RB"]
["Austin Seferian-Jenkins", 2543683, "TE"]
["Kevin Norwood", 2543689, "WR"]
["Jay Prosch", 2543695, "RB"]
["Lorenzo Taliaferro", 2543704, "RB"]
["Jerick McKinnon", 2543715, "RB"]
["C.J. Fiedorowicz", 2543721, "TE"]
["Carlos Hyde", 2543743, "RB"]
["Josh Huff", 2543746, "WR"]
["Jeff Janis", 2543750, "WR"]
["David Fales", 2543751, "QB"]
["Ryan Grant", 2543759, "WR"]
["Logan Thomas", 2543767, "TE"]
["Charles Sims", 2543770, "RB"]
["James White", 2543773, "RB"]
["Jared Abbrederis", 2543774, "WR"]
["Matt Hazel", 2543792, "WR"]
["Crockett Gillmore", 2543794, "TE"]
["Jimmy Garoppolo", 2543801, "QB"]
["Quincy Enunwa", 2543828, "WR"]
["T.J. Jones", 2543836, "WR"]
["John Brown", 2543847, "WR"]
["James Wright", 2550162, "WR"]
["Michael Campanaro", 2550163, "WR"]
["Isaiah Burse", 2550182, "WR"]
["Jeremy Butler", 2550183, "WR"]
["Isaiah Crowell", 2550189, "RB"]
["Bennie Fowler", 2550198, "WR"]
["Ryan Hewitt", 2550206, "TE"]
["Jonathan Krause", 2550216, "WR"]
